species,R.km2,P.km2,R.fill,S.fill,Lat,Long,R.shape,P.shape,S.shape
Gordonia lasianthus,5.35,5.709,67.427,58.814,31.351,-81.689,0.642,0.397,1.183
Guaiacum angustifolium,5.517,5.971,47.65,59.154,27.188,-100.444,1.05,0.364,1.05
Gymnocladus dioica,5.857,6.249,57.459,66.615,39.254,-90.374,0.46,0.374,1.044
Halesia carolina,5.352,6.093,23.511,38.57,34.024,-84.322,0.555,0.375,0.844
Halesia diptera,5.338,5.728,58.833,64.875,31.384,-88.526,0.322,0.344,0.872
Hamamelis virginiana,6.274,6.5,70.481,85.592,38.248,-81.794,0.644,0.446,0.842
Havardia pallens,5.246,5.7,49.977,40.922,25.836,-99.398,1.25,0.335,0.914
Helietta parvifolia,5.175,5.826,37.203,32.944,24.796,-99.53,1.062,0.329,1.102
Heteromeles arbutifolia,4.968,6.141,30.561,37.961,35.183,-119.3,1.257,0.572,0.835
Holacantha emoryi,4.944,5.503,56.804,43.9,33.297,-113.794,0.851,0.835,0.955
Ilex ambigua,5.646,6.016,55.35,48.966,31.592,-86.17,0.499,0.405,0.764
Ilex cassine,5.217,5.721,56.716,73.779,29.346,-82.266,0.509,0.411,1.276
Ilex coriacea,5.459,5.839,60.074,42.694,32.009,-83.215,0.402,0.448,1.032
Ilex decidua,6.09,6.226,81.269,79.216,33.734,-89.265,0.571,0.422,0.852
Ilex laevigata,5.029,6.098,14.38,31.014,40.643,-74.008,0.942,0.364,0.891
Ilex montana,5.413,6.183,22.875,40.946,37.143,-80.841,0.657,0.402,0.929
Ilex myrtifolia,5.27,5.628,68.431,45.355,31.364,-82.782,0.466,0.378,1.033
Ilex opaca,6.086,6.258,79.654,70.26,33.809,-85.478,0.54,0.417,0.883
Ilex verticillata,6.269,6.484,73.334,81.26,41.159,-80.624,0.543,0.402,0.856
Ilex vomitoria,5.618,6.005,58.952,66.49,30.99,-88.324,0.428,0.378,0.677
Illicium floridanum,5.029,5.893,37.152,60.667,31.314,-88.141,0.756,0.54,0.608
Juglans cinerea,6.161,6.341,78.135,74.894,40.814,-83.629,0.473,0.4,0.832
Juglans major,5.404,6.503,18.16,32.078,28.133,-107.267,0.869,0.584,0.977
Juglans microcarpa,4.532,6.175,4.237,49.45,31.777,-101.485,1.321,0.654,1.201
Juglans nigra,6.361,6.461,88.174,85.415,37.508,-88.109,0.575,0.487,0.866
Juniperus ashei,4.655,6.076,10.044,55.694,31.661,-97.866,0.816,0.436,0.785
Juniperus californica,4.495,5.78,12.49,21.187,35.185,-118.788,1.326,0.717,1.083
Juniperus communis,6.903,7.018,84.487,71.93,56.841,-107.593,0.322,0.379,0.814
Juniperus deppeana,5.078,6.459,8.895,27.134,29.614,-106.845,1.09,0.443,1.048
Juniperus flaccida,4.826,6.085,9.099,28.395,26.803,-104.011,0.872,0.565,0.854
Juniperus horizontalis,6.686,6.928,67.745,67.59,55.396,-95.1,0.321,0.355,0.957
Juniperus monosperma,5.205,6.473,10.584,41.647,33.78,-106.635,1.329,0.626,0.869
Juniperus occidentalis,5.032,5.976,21.511,35.406,42.995,-119.687,2.034,0.563,1.016
Juniperus osteosperma,5.432,6.317,25.787,30.119,38.374,-112.156,0.791,0.57,0.983
Juniperus pinchotii,5.09,6.113,21.58,52.326,32.923,-102.833,0.759,0.771,0.95
Juniperus scopulorum,5.756,6.692,19.972,28.928,45.053,-113.892,0.911,0.357,0.989
Juniperus virginiana,6.466,6.551,89.957,93.139,37.868,-88.041,0.598,0.516,0.785
Kalmia latifolia,5.958,6.252,57.141,66.148,37.324,-80.7,0.651,0.474,1.042
Koeberlinia spinosa,5.769,6.215,49.065,59.329,27.937,-103.938,0.651,0.554,0.949
Larix laricina,6.765,6.916,78.812,64.06,54.057,-94.283,0.264,0.379,0.968
Larix lyallii,4.558,6.166,5.305,15.625,49.136,-116.363,0.738,0.32,0.941
Larix occidentalis,5.205,6.088,30.574,32.141,47.567,-116.986,0.798,0.277,1.023
Larrea divaricata,6.064,6.311,72.953,48.458,30.214,-108.108,0.724,0.773,0.991
Leucaena pulverulenta,5.223,5.869,31.317,35.713,24.519,-99.427,0.792,0.324,1.054
Leucaena retusa,4.862,5.758,24.587,28.763,29.787,-101.683,0.699,0.759,0.84
Liquidambar styraciflua,6.144,6.229,90.137,76.543,34.3,-86.035,0.595,0.463,0.857
Liriodendron tulipifera,6.192,6.323,80.524,77.891,36.514,-83.041,0.74,0.482,1.005
Lyonia ferruginea,5.153,5.56,72.42,73.992,29.477,-82.257,1.161,0.393,1.255
Maclura pomifera,5.066,5.788,38.527,59.576,31.798,-96.416,0.567,0.357,1.09
Magnolia acuminata,5.698,6.212,36.089,53.235,37.635,-82.597,0.657,0.399,0.922
Magnolia fraseri,5.075,6.052,17.745,31.866,34.86,-83.597,0.58,0.354,1.146
Magnolia grandiflora,5.587,5.799,74.249,49.111,31.124,-86.311,0.436,0.389,0.67
Magnolia macrophylla,5.204,6.001,25.735,46.728,32.886,-87.679,0.625,0.445,0.945
Magnolia tripetala,5.263,6.112,20.541,37.988,36.053,-83.316,0.505,0.371,0.904
Magnolia virginiana,5.837,6.152,59.319,53.954,32.468,-84.106,0.665,0.444,0.866
Malosma laurina,4.442,5.96,14.266,26.393,30.778,-115.658,1.105,0.664,1.369
Malus angustifolia,5.624,6.153,43.873,41.422,33.387,-84.553,0.47,0.366,0.838
Malus coronaria,5.634,6.114,50.657,61.034,40.615,-82.908,0.503,0.361,0.951
Malus fusca,5.464,5.887,56.292,26.699,51.162,-127.919,0.733,0.272,0.935
Malus ioensis,5.583,6.233,45.302,66.041,40.026,-91.419,1.164,0.57,1.173
Morella cerifera,5.835,6.087,67.311,59.239,31.826,-85.841,0.614,0.45,0.791
Morus celtidifolia,4.902,6.284,10.252,37.289,32.421,-105.553,0.477,0.764,1.028
Morus rubra,6.443,6.513,95.507,91.963,36.091,-88.217,0.617,0.524,0.864
Myrica californica,4.653,5.317,38.106,33.334,41.044,-123.261,2.057,1.504,1.175
Myrica heterophylla,5.487,5.994,48.163,39.401,32.855,-82.656,0.561,0.443,0.873
Myrica inodora,4.649,5.443,40.736,40.123,30.592,-86.983,0.239,0.355,0.56
Myrica pensylvanica,5.106,6.054,21.995,36.262,42.63,-70.189,0.484,0.349,1.314
Nolina bigelovii,4.427,5.836,8.989,30.71,33.412,-114.301,1.04,0.693,0.872
Notholithocarpus densiflorus,4.467,5.367,32.729,31.009,40.242,-123.207,1.653,0.672,1.098
Nyssa aquatica,5.661,6.025,45.531,60.012,33.087,-86.97,0.496,0.348,0.852
Nyssa ogeche,4.9,5.484,66.946,48.156,30.941,-83.126,0.556,0.329,1.229
Nyssa sylvatica,6.29,6.379,90.406,88.348,36.036,-84.428,0.694,0.493,0.89
Olneya tesota,5.444,5.876,52.43,36.724,30.634,-112.532,1.533,0.691,0.957
Osmanthus americanus,5.455,5.771,61.069,43.557,31.053,-84.326,0.582,0.408,0.886
Ostrya virginiana,6.478,6.664,82.426,92.551,40.433,-84.84,0.521,0.468,0.829
Oxydendrum arboreum,5.857,6.147,55.4,48.989,34.935,-83.796,0.548,0.439,1.054
Parkinsonia aculeata,5.837,6.129,66.391,71.637,25.863,-104.353,0.542,0.43,0.937
Persea borbonia,5.676,5.981,67.801,48.076,31.277,-84.116,0.594,0.452,0.896
Picea engelmannii,5.861,6.491,42.896,27.215,48.432,-117.208,1.03,0.309,1.06
Picea glauca,6.819,6.942,81.493,65.882,56.266,-104.12,0.24,0.339,0.891
Picea mariana,6.828,6.981,79.091,67.587,56.404,-102.105,0.265,0.342,0.862
Picea pungens,4.908,6.496,5.275,14.489,39.174,-108.116,1.241,0.367,1.258
Picea rubens,5.593,6.029,57.492,52.164,44.999,-70.1,0.531,0.282,0.873
Picea sitchensis,5.453,5.992,45.9,27.939,53.151,-130.678,0.684,0.272,1.056
Pinckneya bracteata,4.822,5.597,44.742,54.273,31.448,-83.017,0.781,0.353,1.046
Pinus albicaulis,5.6,6.306,32.054,22.077,49.304,-118.281,0.956,0.278,0.944
Pinus aristata,4.301,6.471,1.455,13.228,38.29,-109.366,0.38,0.454,0.764
Pinus banksiana,6.496,6.74,65.498,61.096,53.843,-95.619,0.355,0.365,1.024
Pinus cembroides,5.316,6.143,24.334,37.053,27.071,-105.309,0.917,0.434,0.799
Pinus clausa,4.752,5.418,57.707,85.943,28.266,-81.945,0.606,0.374,1.229
Pinus contorta,6.201,6.867,31.585,31.472,52.936,-121.862,0.877,0.371,1.009
Pinus cooperi,4.773,5.842,33.203,14.61,25.199,-105.935,1.529,0.438,0.782
Pinus durangensis,4.944,5.869,37.189,23.709,26.655,-106.812,0.748,0.546,0.986
Pinus echinata,6.044,6.218,72.965,64.743,34.699,-85.565,0.485,0.417,0.88
Pinus edulis,5.391,6.328,19.535,20.812,36.437,-108.938,0.767,0.978,1.047
Pinus elliottii,5.402,5.703,63.524,48.67,30.336,-83.954,0.743,0.39,0.914
Pinus engelmannii,5.155,6.072,25.186,31.559,27.005,-106.871,1.219,0.471,1.01
Pinus flexilis,5.374,6.595,14.09,17.417,42.781,-111.044,1.199,0.438,1.041
Pinus glabra,5.357,5.698,58.884,39.281,31.554,-85.652,0.359,0.351,0.76
Pinus jeffreyi,4.91,5.882,24.335,18.748,38.713,-120.29,1.387,0.976,1.008
Pinus lambertiana,5.04,5.645,46.019,35.361,40.366,-121.666,1.582,1.783,0.98
Pinus leiophylla,5.132,6.302,23.35,28.84,26.74,-106.621,1.451,0.456,0.864
Pinus lumholtzii,4.845,5.89,29.017,15.884,25.233,-105.985,1.084,0.457,1.132
Pinus monophylla,4.881,6.093,8.969,19.911,38.18,-116.146,1.375,1.07,1.034
Pinus monticola,5.493,6.143,34.319,27.815,47.494,-120.699,1.23,0.269,1.054
Pinus palustris,5.709,5.967,66.078,46.281,31.934,-84.436,0.524,0.413,0.914
Pinus ponderosa,5.861,6.848,20.489,52.188,40.68,-113.985,1.168,0.371,0.993
Pinus pungens,4.954,5.838,24.17,24.348,37.798,-79.994,0.68,0.32,1.09
Pinus resinosa,6.067,6.321,73.932,64.201,46.268,-79.808,0.294,0.321,0.876
Pinus rigida,5.675,6.074,54.608,63.692,39.504,-78.393,0.56,0.36,0.913
Pinus sabiniana,4.594,5.408,28.132,30.361,38.264,-121.143,1.133,1.955,0.826
Pinus serotina,5.486,5.878,63.06,46.97,32.775,-81.186,0.934,0.405,1.06
Pinus strobiformis,5.259,6.386,20.392,33.157,27.191,-106.448,0.986,0.455,1.083
Pinus strobus,6.261,6.495,76.649,75.148,44.75,-78.624,0.388,0.349,0.89
Pinus taeda,5.933,6.082,79.408,62.273,32.987,-85.787,0.496,0.404,0.87
Pinus teocote,4.808,5.941,24.619,30.693,24.372,-103.88,0.63,0.413,1.184
Pinus virginiana,5.719,6.054,56.241,53.179,37.304,-81.205,0.552,0.378,1.048
Planera aquatica,5.621,5.998,48.48,61.939,32.551,-87.886,0.43,0.32,0.912
Platanus occidentalis,6.4,6.499,93.928,95.22,36.941,-86.464,0.671,0.511,0.846
Platanus racemosa,4.826,5.43,37.966,29.517,34.564,-118.738,1.485,1.383,0.7
Platanus wrightii,5.02,6.082,26.939,21.601,32.347,-110.216,1.464,0.697,0.893
Populus angustifolia,5.495,6.654,13.848,23.868,40.387,-109.079,1.321,0.438,0.928
Populus balsamifera,6.763,6.967,71.22,61.802,55.544,-105.038,0.274,0.375,0.842
Populus deltoides,6.585,6.794,75.346,61.922,39.948,-95.155,0.589,0.444,0.987
Populus fremontii,5.397,6.622,10.653,34.877,34.805,-110.983,0.692,0.689,1.014
Populus grandidentata,6.304,6.485,82.607,78.009,44.614,-80.466,0.403,0.347,0.947
Populus heterophylla,5.322,6.182,18.686,36.38,36.661,-82.573,0.619,0.41,1.046
Populus tremuloides,6.87,7.028,77.264,67.964,54.027,-105.437,0.408,0.389,0.917
Populus trichocarpa,6.113,6.658,47.175,40.367,49.439,-122.757,0.615,0.36,1.073
Prosopis juliflora,6.26,6.343,89.65,67.916,29.772,-105.148,0.629,0.56,0.982
Prosopis pubescens,5.176,6.1,24.465,44.572,33.772,-113.07,0.58,1.053,1.009
Prunus americana,6.389,6.672,70.521,74.256,40.496,-90.793,0.503,0.54,0.997
Prunus angustifolia,6.09,6.375,60.313,78.632,34.108,-90.409,0.47,0.441,0.79
Prunus caroliniana,5.602,5.865,67.768,45.392,31.489,-85.306,0.368,0.389,0.898
Prunus emarginata,5.694,6.449,41.698,51.376,45.404,-120.444,0.907,0.307,1.171
